accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,0.5,0.3,-0.2,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,0.5,0.3,-0.15,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,0.5,0.3,-0.1,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,0.5,0.3,-0.05,0
0.8,0.75,1,0.5,0.75,0.333333333333333,40,2,16,24,12,8,0.5,3.5,0.5,0.35,-0.45,0
0.75,0.875,0.25,0.375,0.875,0.0416666666666667,40,2,16,24,14,1,0.5,3.5,0.5,0.35,-0.4,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.35,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.3,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.25,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.2,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.15,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.1,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,0.5,0.35,-0.05,0
0.95,0.923076923076923,1,0.638297872340426,0.923076923076923,0.529411764705882,47,2.35,13,34,12,18,0.5,3.5,0.5,0.4,-0.45,0
0.8,1,0.428571428571429,0.425531914893617,1,0.205882352941176,47,2.35,13,34,13,7,0.5,3.5,0.5,0.4,-0.4,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,0.5,0.4,-0.35,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,0.5,0.4,-0.3,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,0.5,0.4,-0.25,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,0.5,0.4,-0.2,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,0.5,0.4,-0.15,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,0.5,0.4,-0.1,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,0.5,0.4,-0.05,0
0.7,1,0.571428571428571,0.473684210526316,1,0.411764705882353,57,2.85,6,51,6,21,0.5,3.5,0.5,0.45,-0.45,0
0.45,1,0.214285714285714,0.228070175438596,1,0.137254901960784,57,2.85,6,51,6,7,0.5,3.5,0.5,0.45,-0.4,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,0.5,0.45,-0.35,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,0.5,0.45,-0.3,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,0.5,0.45,-0.25,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,0.5,0.45,-0.2,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,0.5,0.45,-0.15,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,0.5,0.45,-0.1,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,0.5,0.45,-0.05,0
0.6,0.578947368421053,1,0.419354838709677,0.578947368421053,0.166666666666667,31,1.55,19,12,11,2,0.5,3.5,1,0.05,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,1,0.05,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.05,-0.05,0
0.6,0.578947368421053,1,0.419354838709677,0.578947368421053,0.166666666666667,31,1.55,19,12,11,2,0.5,3.5,1,0.1,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,1,0.1,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.1,-0.05,0
0.6,0.578947368421053,1,0.419354838709677,0.578947368421053,0.166666666666667,31,1.55,19,12,11,2,0.5,3.5,1,0.15,-0.45,0
0.8,0.842105263157895,0,0.516129032258065,0.842105263157895,0,31,1.55,19,12,16,0,0.5,3.5,1,0.15,-0.4,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.35,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1,0.15,-0.05,0
0.6,0.578947368421053,1,0.393939393939394,0.578947368421053,0.142857142857143,33,1.65,19,14,11,2,0.5,3.5,1,0.2,-0.45,0
0.8,0.842105263157895,0,0.484848484848485,0.842105263157895,0,33,1.65,19,14,16,0,0.5,3.5,1,0.2,-0.4,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.35,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.3,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.25,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.2,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.15,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.1,0
0.95,1,0,0.575757575757576,1,0,33,1.65,19,14,19,0,0.5,3.5,1,0.2,-0.05,0
0.6,0.578947368421053,1,0.382352941176471,0.578947368421053,0.133333333333333,34,1.7,19,15,11,2,0.5,3.5,1,0.25,-0.45,0
0.8,0.842105263157895,0,0.470588235294118,0.842105263157895,0,34,1.7,19,15,16,0,0.5,3.5,1,0.25,-0.4,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.35,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.3,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.25,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.2,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.15,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.1,0
0.95,1,0,0.558823529411765,1,0,34,1.7,19,15,19,0,0.5,3.5,1,0.25,-0.05,0
0.65,0.611111111111111,1,0.388888888888889,0.611111111111111,0.166666666666667,36,1.8,18,18,11,3,0.5,3.5,1,0.3,-0.45,0
0.85,0.888888888888889,0.5,0.472222222222222,0.888888888888889,0.0555555555555556,36,1.8,18,18,16,1,0.5,3.5,1,0.3,-0.4,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.35,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.3,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.25,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.2,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.15,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.1,0
0.9,1,0,0.5,1,0,36,1.8,18,18,18,0,0.5,3.5,1,0.3,-0.05,0
0.75,0.6875,1,0.475,0.6875,0.333333333333333,40,2,16,24,11,8,0.5,3.5,1,0.35,-0.45,0
0.75,0.875,0.25,0.375,0.875,0.0416666666666667,40,2,16,24,14,1,0.5,3.5,1,0.35,-0.4,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.35,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.3,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.25,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.2,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.15,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.1,0
0.8,1,0,0.4,1,0,40,2,16,24,16,0,0.5,3.5,1,0.35,-0.05,0
0.9,0.846153846153846,1,0.617021276595745,0.846153846153846,0.529411764705882,47,2.35,13,34,11,18,0.5,3.5,1,0.4,-0.45,0
0.8,1,0.428571428571429,0.425531914893617,1,0.205882352941176,47,2.35,13,34,13,7,0.5,3.5,1,0.4,-0.4,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,1,0.4,-0.35,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,1,0.4,-0.3,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,1,0.4,-0.25,0
0.7,1,0.142857142857143,0.340425531914894,1,0.0882352941176471,47,2.35,13,34,13,3,0.5,3.5,1,0.4,-0.2,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,1,0.4,-0.15,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,1,0.4,-0.1,0
0.65,1,0,0.276595744680851,1,0,47,2.35,13,34,13,0,0.5,3.5,1,0.4,-0.05,0
0.65,0.833333333333333,0.571428571428571,0.456140350877193,0.833333333333333,0.411764705882353,57,2.85,6,51,5,21,0.5,3.5,1,0.45,-0.45,0
0.45,1,0.214285714285714,0.228070175438596,1,0.137254901960784,57,2.85,6,51,6,7,0.5,3.5,1,0.45,-0.4,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,1,0.45,-0.35,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,1,0.45,-0.3,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,1,0.45,-0.25,0
0.35,1,0.0714285714285714,0.157894736842105,1,0.0588235294117647,57,2.85,6,51,6,3,0.5,3.5,1,0.45,-0.2,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,1,0.45,-0.15,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,1,0.45,-0.1,0
0.3,1,0,0.105263157894737,1,0,57,2.85,6,51,6,0,0.5,3.5,1,0.45,-0.05,0
0.4,0.368421052631579,1,0.290322580645161,0.368421052631579,0.166666666666667,31,1.55,19,12,7,2,0.5,3.5,1.5,0.05,-0.45,0
0.65,0.684210526315789,0,0.419354838709677,0.684210526315789,0,31,1.55,19,12,13,0,0.5,3.5,1.5,0.05,-0.4,0
0.85,0.894736842105263,0,0.548387096774194,0.894736842105263,0,31,1.55,19,12,17,0,0.5,3.5,1.5,0.05,-0.35,0
0.9,0.947368421052632,0,0.580645161290323,0.947368421052632,0,31,1.55,19,12,18,0,0.5,3.5,1.5,0.05,-0.3,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.05,-0.25,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.05,-0.2,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.05,-0.15,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.05,-0.1,0
0.95,1,0,0.612903225806452,1,0,31,1.55,19,12,19,0,0.5,3.5,1.5,0.05,-0.05,0
0.4,0.368421052631579,1,0.290322580645161,0.368421052631579,0.166666666666667,31,1.55,19,12,7,2,0.5,3.5,1.5,0.1,-0.45,0
0.65,0.684210526315789,0,0.419354838709677,0.684210526315789,0,31,1.55,19,12,13,0,0.5,3.5,1.5,0.1,-0.4,0
0.85,0.894736842105263,0,0.548387096774194,0.894736842105263,0,31,1.55,19,12,17,0,0.5,3.5,1.5,0.1,-0.35,0
