accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,0
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,0.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,1
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,1.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,2
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,2.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,0.5,0.4,-0.45,3
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,0
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,0.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,1
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,1.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,2
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,2.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,0.5,0.45,-0.45,3
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,0.5,4.5,1,0.4,-0.45,0
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,0.5,4.5,1,0.4,-0.45,0.5
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,0.5,4.5,1,0.4,-0.45,1
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,1,0.4,-0.45,1.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,1,0.4,-0.45,2
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,1,0.4,-0.45,2.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,0.5,4.5,1,0.4,-0.45,3
0.6,0.833333333333333,0.5,0.412698412698413,0.833333333333333,0.368421052631579,63,3.15,6,57,5,21,0.5,4.5,1,0.45,-0.45,0
0.6,0.833333333333333,0.5,0.412698412698413,0.833333333333333,0.368421052631579,63,3.15,6,57,5,21,0.5,4.5,1,0.45,-0.45,0.5
0.6,0.833333333333333,0.5,0.412698412698413,0.833333333333333,0.368421052631579,63,3.15,6,57,5,21,0.5,4.5,1,0.45,-0.45,1
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,1,0.45,-0.45,1.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,1,0.45,-0.45,2
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,1,0.45,-0.45,2.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,0.5,4.5,1,0.45,-0.45,3
0.65,0.538461538461538,0.857142857142857,0.480769230769231,0.538461538461538,0.461538461538462,52,2.6,13,39,7,18,0.5,4.5,1.5,0.4,-0.45,0
0.65,0.538461538461538,0.857142857142857,0.480769230769231,0.538461538461538,0.461538461538462,52,2.6,13,39,7,18,0.5,4.5,1.5,0.4,-0.45,0.5
0.7,0.615384615384615,0.857142857142857,0.5,0.615384615384615,0.461538461538462,52,2.6,13,39,8,18,0.5,4.5,1.5,0.4,-0.45,1
0.8,0.769230769230769,0.857142857142857,0.538461538461538,0.769230769230769,0.461538461538462,52,2.6,13,39,10,18,0.5,4.5,1.5,0.4,-0.45,1.5
0.8,0.769230769230769,0.857142857142857,0.538461538461538,0.769230769230769,0.461538461538462,52,2.6,13,39,10,18,0.5,4.5,1.5,0.4,-0.45,2
0.8,0.769230769230769,0.857142857142857,0.538461538461538,0.769230769230769,0.461538461538462,52,2.6,13,39,10,18,0.5,4.5,1.5,0.4,-0.45,2.5
0.8,0.769230769230769,0.857142857142857,0.538461538461538,0.769230769230769,0.461538461538462,52,2.6,13,39,10,18,0.5,4.5,1.5,0.4,-0.45,3
0.7,0.5,0.785714285714286,0.650793650793651,0.5,0.666666666666667,63,3.15,6,57,3,38,0.5,4.5,1.5,0.45,-0.45,0
0.7,0.5,0.785714285714286,0.650793650793651,0.5,0.666666666666667,63,3.15,6,57,3,38,0.5,4.5,1.5,0.45,-0.45,0.5
0.7,0.5,0.785714285714286,0.650793650793651,0.5,0.666666666666667,63,3.15,6,57,3,38,0.5,4.5,1.5,0.45,-0.45,1
0.8,0.833333333333333,0.785714285714286,0.682539682539683,0.833333333333333,0.666666666666667,63,3.15,6,57,5,38,0.5,4.5,1.5,0.45,-0.45,1.5
0.8,0.833333333333333,0.785714285714286,0.682539682539683,0.833333333333333,0.666666666666667,63,3.15,6,57,5,38,0.5,4.5,1.5,0.45,-0.45,2
0.8,0.833333333333333,0.785714285714286,0.682539682539683,0.833333333333333,0.666666666666667,63,3.15,6,57,5,38,0.5,4.5,1.5,0.45,-0.45,2.5
0.8,0.833333333333333,0.785714285714286,0.682539682539683,0.833333333333333,0.666666666666667,63,3.15,6,57,5,38,0.5,4.5,1.5,0.45,-0.45,3
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,0
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,0.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,1
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,1.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,2
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,2.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,0.5,0.4,-0.45,3
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,0
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,0.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,1
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,1.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,2
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,2.5
0.65,1,0.5,0.428571428571429,1,0.368421052631579,63,3.15,6,57,6,21,1,4.5,0.5,0.45,-0.45,3
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,1,4.5,1,0.4,-0.45,0
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,1,4.5,1,0.4,-0.45,0.5
0.85,0.846153846153846,0.857142857142857,0.557692307692308,0.846153846153846,0.461538461538462,52,2.6,13,39,11,18,1,4.5,1,0.4,-0.45,1
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,1,0.4,-0.45,1.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,1,0.4,-0.45,2
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,1,0.4,-0.45,2.5
0.9,0.923076923076923,0.857142857142857,0.576923076923077,0.923076923076923,0.461538461538462,52,2.6,13,39,12,18,1,4.5,1,0.4,-0.45,3
