accuracy_per_full_test,PPV_per_full_test,NPV_per_full_test,accuracy_per_simple_test,PPV_per_simple_test,NPV_per_simple_test,total_simple_test,avg_simple_test_per_full_test,positive_simple,negative_simple,TP_simple,TN_simple,PT_span,PT_max_span,CF_span,PT_angle,CF_angle,drop_out_span
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,0
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,0.5
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,1
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,1.5
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,2
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,2.5
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,0.5,0.4,-0.45,3
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,0
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,0.5
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,1
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,1.5
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,2
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,2.5
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,0.5,0.45,-0.45,3
0.9,0.846153846153846,1,0.62,0.846153846153846,0.540540540540541,50,2.5,13,37,11,20,0.5,4.5,1,0.4,-0.45,0
0.9,0.846153846153846,1,0.62,0.846153846153846,0.540540540540541,50,2.5,13,37,11,20,0.5,4.5,1,0.4,-0.45,0.5
0.9,0.846153846153846,1,0.62,0.846153846153846,0.540540540540541,50,2.5,13,37,11,20,0.5,4.5,1,0.4,-0.45,1
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,1,0.4,-0.45,1.5
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,1,0.4,-0.45,2
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,1,0.4,-0.45,2.5
0.95,0.923076923076923,1,0.64,0.923076923076923,0.540540540540541,50,2.5,13,37,12,20,0.5,4.5,1,0.4,-0.45,3
0.65,0.833333333333333,0.571428571428571,0.459016393442623,0.833333333333333,0.418181818181818,61,3.05,6,55,5,23,0.5,4.5,1,0.45,-0.45,0
0.65,0.833333333333333,0.571428571428571,0.459016393442623,0.833333333333333,0.418181818181818,61,3.05,6,55,5,23,0.5,4.5,1,0.45,-0.45,0.5
0.65,0.833333333333333,0.571428571428571,0.459016393442623,0.833333333333333,0.418181818181818,61,3.05,6,55,5,23,0.5,4.5,1,0.45,-0.45,1
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,1,0.45,-0.45,1.5
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,1,0.45,-0.45,2
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,1,0.45,-0.45,2.5
0.7,1,0.571428571428571,0.475409836065574,1,0.418181818181818,61,3.05,6,55,6,23,0.5,4.5,1,0.45,-0.45,3
0.7,0.538461538461538,1,0.54,0.538461538461538,0.540540540540541,50,2.5,13,37,7,20,0.5,4.5,1.5,0.4,-0.45,0
0.7,0.538461538461538,1,0.54,0.538461538461538,0.540540540540541,50,2.5,13,37,7,20,0.5,4.5,1.5,0.4,-0.45,0.5
0.75,0.615384615384615,1,0.56,0.615384615384615,0.540540540540541,50,2.5,13,37,8,20,0.5,4.5,1.5,0.4,-0.45,1
0.85,0.769230769230769,1,0.6,0.769230769230769,0.540540540540541,50,2.5,13,37,10,20,0.5,4.5,1.5,0.4,-0.45,1.5
0.85,0.769230769230769,1,0.6,0.769230769230769,0.540540540540541,50,2.5,13,37,10,20,0.5,4.5,1.5,0.4,-0.45,2
0.85,0.769230769230769,1,0.6,0.769230769230769,0.540540540540541,50,2.5,13,37,10,20,0.5,4.5,1.5,0.4,-0.45,2.5
0.85,0.769230769230769,1,0.6,0.769230769230769,0.540540540540541,50,2.5,13,37,10,20,0.5,4.5,1.5,0.4,-0.45,3
0.75,0.5,0.857142857142857,0.688524590163934,0.5,0.709090909090909,61,3.05,6,55,3,39,0.5,4.5,1.5,0.45,-0.45,0
0.75,0.5,0.857142857142857,0.688524590163934,0.5,0.709090909090909,61,3.05,6,55,3,39,0.5,4.5,1.5,0.45,-0.45,0.5
